374	Islamabad	Pakistan	756105	33.69	73.0551
375	Cracow	Poland	755050	50.0833	19.9167
376	Aligarh	India	753280	27.8833	78.0833
377	Pietermaritzburg	South Africa	750864	-29.6168	30.3928
378	Taian	China	750340	36.1853	117.12
379	Trujillo	Peru	750004	-8.11667	-79.0333
380	Malang	Indonesia	746780	-7.9797	112.63
381	Ciudad Guayana	Venezuela	746606	8.35333	-62.6528
382	Amsterdam	Netherlands	745811	52.35	4.91667
383	Kigali	Rwanda	745526	-1.95361	30.0606
384	Bareli	India	745509	28.35	79.4167
385	Teresina	Brazil	744526	-5.08333	-42.8167
386	Xinxiang	China	743601	35.3089	113.867
387	São Bernardo do Campo	Brazil	743386	-23.7	-46.55
388	Hegang	China	743307	47.4	130.367
389	Riga	Latvia	742570	56.95	24.1
390	Columbus	United States	736836	39.9611	-82.9989
391	Oyo	Nigeria	736113	7.85	3.93333
392	Tainan	Taiwan	734314	22.9933	120.204
393	Quetta	Pakistan	733970	30.199	67.0097
394	San Francisco	United States	732072	37.775	-122.418
395	Campo Grande	Brazil	729164	-20.45	-54.6167
396	Athens	Greece	729139	37.9833	23.7333
397	Guadalupe	Mexico	724949	25.6833	-100.25
398	Cúcuta	Colombia	721406	7.89391	-72.5078
399	Moradabad	India	721210	28.8333	78.7833
400	Langfang	China	720119	39.5097	116.695
401	Ningbo	China	719867	29.8782	121.549
402	Yantai	China	719332	37.5333	121.4
403	Tolyatti	Russian Federation	718495	53.5303	49.3461
404	Mérida	Mexico	717196	20.9667	-89.6167
405	Tlalnepantla	Mexico	715798	19.5269	-99.2217
406	Jerusalem	Israel	714685	31.78	35.23
407	Chisinau	Moldova	713805	47.0056	28.8575
408	Nouakchott	Mauritania	709835	18.0864	-15.9753
409	Zhuzhou	China	709358	27.6919	113.152
410	Chihuahua	Mexico	708292	28.6333	-106.083
411	Bhiwandi	India	707090	19.3	73.0667
412	Jaboatão	Brazil	702632	-8.11667	-35.0167
413	Rajshahi	Bangladesh	700206	24.3667	88.6
414	Zagreb	Croatia	698967	45.8	16
415	Sarajevo	Bosnia and Herzegovina	696726	43.85	18.3833
416	Tunis	Tunisia	692816	36.8061	10.1711
417	Zhangjiakou	China	692602	40.81	114.879
418	Cotonou	Benin	690584	6.35	2.43333
419	Zigong	China	689961	29.3416	104.777
420	Fuxin	China	689050	42.0156	121.659
421	Liaoyang	China	687890	41.2261	123.056
422	Sevilla	Spain	686647	37.3824	-5.97613
423	La Plata	Argentina	684318	-34.9215	-57.9545
424	Bangui	Central African Republic	684190	4.36667	18.5833
425	Raipur	India	680066	21.2333	81.6333
426	Austin	United States	678368	30.2669	-97.7428
427	Osasco	Brazil	677869	-23.5667	-46.7833
428	San Luis Potosí	Mexico	677726	22.15	-100.983
429	Gorakhpur	India	674312	26.755	83.3739
430	Ipoh	Malaysia	673346	4.5841	101.083
431	Zhangdian	China	669770	36.7906	118.063
432	Palermo	Italy	669582	38.1167	13.3667
433	Puyang	China	666322	35.7028	115.005
434	Nantong	China	666251	32.0303	120.875
435	Mudanjiang	China	665915	44.5833	129.6
436	Santo André	Brazil	662387	-23.6667	-46.5167
437	Aguascalientes	Mexico	658193	21.8833	-102.3
438	Agadir	Morocco	656110	30.4207	-9.59316
439	Hamilton	Canada	653637	43.25	-79.8333
440	Enugu	Nigeria	653436	6.4402	7.4943
441	Kryvyy Rih	Ukraine	652376	47.9097	33.3804
442	Acapulco	Mexico	652160	16.85	-99.9167
443	João Pessoa	Brazil	650896	-7.11667	-34.8667
444	Benghazi	Libya	650629	32.1167	20.0667
445	Krasnodar	Russian Federation	649860	45.0488	38.9725
446	Shaoyang	China	649452	26.9659	111.241
447	Guilin	China	649352	25.2819	110.286
448	Sagamihara	Japan	648811	35.5531	139.354
449	Colombo	Sri Lanka	648119	6.93194	79.8478
450	Frankfurt	Germany	648034	50.1167	8.68333
451	Lilongwe	Malawi	646738	-13.9833	33.7833
452	Wahran	Algeria	646025	35.6911	-0.641667
453	Mar del Plata	Argentina	645771	-38.0023	-57.5575
454	Quebec	Canada	645623	46.8	-71.25
455	Memphis	United States	641608	35.1494	-90.0489
456	Ulyanovsk	Russian Federation	640685	54.3282	48.3866
457	Zhanjiang	China	637790	21.2815	110.343
458	Yogyakarta	Indonesia	636711	-7.78278	110.361
